,Price Score,Market Capitalization Score,Price to Earnings Ratio (TTM) Score,Basic EPS (TTM) Score,Number of Employees Score,Free Cash Flow (Annual YoY Growth) Score,Free Cash Flow Margin (FY) Score,Free Cash Flow (Quarterly YoY Growth) Score,3-Month Performance Score,Basic EPS (FY) Score,EPS Diluted (TTM) Score,EBITDA (TTM) Score,Gross Profit (MRQ) Score,Gross Profit (FY) Score,Total Revenue (FY) Score,EPS Diluted (FY) Score,Last Year Revenue (FY) Score,Net Income (FY) Score,Current Ratio (MRQ) Score,Debt to Equity Ratio (MRQ) Score,Net Debt (MRQ) Score,Quick Ratio (MRQ) Score,Total Assets (MRQ) Score,Total Debt (MRQ) Score,Total Current Assets (MRQ) Score,Dividend Yield Forward Score,Dividends Paid (FY) Score,Dividends per Share (FY) Score,Gross Margin (TTM) Score,Operating Margin (TTM) Score,Pretax Margin (TTM) Score,Net Margin (TTM) Score,6-Month Performance Score,YTD Performance Score,Yearly Performance Score,1-Year Beta Score,Volatility Score,Price to Revenue Ratio (TTM) Score,Enterprise Value/EBITDA (TTM) Score,Enterprise Value (MRQ) Score,Total Shares Outstanding Score,Aggregated Score,Ticker,Sector,Description
1,0.4997403301194482,1.0,0.7581305317042442,0.4450998638744261,1.0,0.1910581876267789,0.8751754268028732,0.3289471126910252,0.3702564170131637,0.4410145216969558,0.4432124569732476,1.0,1.0,1.0,1.0,0.4242871766020457,1.0,1.0,0.3791634393049562,0.516708791080813,0.0,0.4527079213569752,1.0,1.0,1.0,0.1479471688394751,0.0,0.4972431077694236,0.8038432666782989,0.9050178928353458,0.983504819559332,0.9982576271322624,0.1728152523258969,0.2372243257500989,0.2361103713961685,0.500837930292825,0.3144922550017062,0.362069167289421,0.328718215637432,1.0,1.0,1.0000000000000002,MSFT,Technology Services,Microsoft Corporation
12,0.2837627294691445,1.0,0.9083637855257208,0.5043183338845009,0.3349951058480317,0.28704079763685,0.8813531332219514,0.2289482047939779,1.0,0.6155438809571357,0.5016200592079192,1.0,1.0,1.0,0.9352912124847832,0.585394250529392,0.9352912124847832,1.0,0.5480501994511123,0.547040876517431,0.0,0.6519545541161487,0.5475088893165986,0.5951340810718444,1.0000000000000002,,1.0,0.0,0.9772450723844168,0.6930731539831586,0.8125584639355925,0.8359026799638004,0.2182600528868005,0.9111306335977584,0.0,0.5233580464253744,0.4964599499842301,0.7819894193023497,0.0843839417934111,1.0,1.0,1.0,META,Technology Services,"Meta Platforms, Inc."
15,0.3450448212793822,1.0,0.9612575794168172,0.8029947626262237,,0.3029217126411155,0.5378139304763018,0.420890725038051,0.1783695880305199,0.7938840139062671,0.8030287725623353,1.0,1.0,1.0,1.0,0.7615743453901873,1.0,1.0,0.2378064286529554,0.5567138145499337,0.8332991099434655,,0.7935867972731577,0.6437221357094367,0.8804914377343198,0.6373441385967256,0.0,1.0,0.1325518641839433,0.4481890948856408,0.6670564238536795,0.6588242175847657,0.5377700399879181,0.1692995359465544,0.8894545290188497,0.109930490397022,0.5120725186772233,0.9307403187085864,0.0162206416047209,1.0,0.7337313570592341,0.9808851086925072,CVX,Energy Minerals,Chevron Corporation
8,0.2081197642649084,1.0,0.9659551207359012,0.5698085782183699,0.2919553576569487,1.0,0.4769837933214288,0.6169750542901191,0.3174650966117163,0.2651850161193689,0.5706415745266085,1.0,1.0,1.0,1.0,0.2579486939059362,1.0,1.0,0.2230931553632953,0.543909506804512,0.6588834103187191,0.1933138133873144,1.0,0.3021366682079174,1.0,0.5904859471955499,0.0,0.699749373433584,0.1886606274510337,0.4075271642272409,0.6198973547593645,0.6267504323734746,0.7219290223305181,0.3590543338087608,1.0,0.1145062514410134,0.248800330841951,0.9468965821291224,0.0108038539835458,1.0,1.0,0.9628465155239412,XOM,Energy Minerals,Exxon Mobil Corporation
25,1.0,1.0,0.8158446429329,1.0,0.0856332648791816,0.2034091142055247,1.0,0.4638237247215485,0.7830207540723024,1.0,1.0,0.9606422805448784,0.6548051128294147,0.6353648474038681,0.2544869493512596,1.0,0.2544869493512596,0.9470412989802376,0.56219364375326,0.3261496578845019,0.4282211193390264,0.587231679021988,0.2176617715589295,0.3864157572514811,0.3015626288374933,0.5829185746557664,0.0,1.0,0.7161297476709614,0.9558219495959523,0.9344690345226324,1.0,0.5255789290134636,0.3410364656939695,0.5577360848803694,0.4589098999625682,0.1951826189861441,0.4701763028761194,0.2148808470873059,0.7430131595753023,0.1409375132603419,0.9451998528311194,AVGO,Electronic Technology,Broadcom Inc.
2,0.1728724004786958,1.0,0.841908195725172,0.2935313434901981,0.740585954743489,0.2693537001622325,0.7391658018055923,0.3830563595488918,0.3485038272192529,0.2775995793884013,0.286855375721645,1.0,1.0,1.0,1.0,0.2665596161810325,1.0,1.0,0.5340946466353655,0.5609947161065801,0.0,0.622271437121494,1.0,0.5509842096554454,1.0,,1.0,0.0,0.6283367651522679,0.6485091036917761,0.7809724180424025,0.8257944077728578,0.1137465599692846,0.5486728311195511,0.1685718263960349,0.513099339479077,0.4990822262973187,0.6652809138141382,0.1872166483076043,1.0,1.0,0.930898821134059,GOOG,Technology Services,Alphabet Inc.
4,1.0,1.0,,0.0,1.0,0.1553383859858493,0.4096489034675167,0.3896512839003552,0.3670173577085243,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9384490961791104,0.5397439844936051,0.6819716107414364,0.9389676859137124,1.0,1.0,1.0,,1.0,0.0,0.1108856085727359,0.3920872266409314,0.3047927926430181,0.3686009587507598,0.4602366418483119,0.1857108617617408,0.4781689664061807,0.2872164292945516,0.002241086153821,0.8654936117896257,0.1906021756919901,1.0,0.0,0.9067309945943467,BRK.A,Finance,Berkshire Hathaway Inc.
0,0.2745952536861833,1.0,0.8001813001917115,0.3341075315126858,0.7765723662744949,0.1984350746351272,0.7836742573130133,0.4517964848514326,0.1226627697607288,0.2963681492682092,0.3308611566523438,1.0,1.0,1.0,1.0,0.286223305750252,1.0,1.0,0.1011773403892714,0.2042118313549219,1.0,0.1437345966470471,1.0,1.0,1.0,0.0475508629907825,0.0,0.1804511278195489,0.449092189775756,0.7037487448879399,0.8167345029132136,0.8528099702437157,0.1932346944235217,0.5732149294573913,0.3031422932214738,0.5468486983375382,0.2450915069936385,0.5947010847321899,0.3170376671063295,1.0,1.0,0.8983755763793893,AAPL,Electronic Technology,Apple Inc.
19,0.2027908867161921,1.0,1.0,0.1127996493036061,1.0,0.0629094707321775,0.4298389931735505,,1.0,0.1915535322000187,0.10823316420485,0.9889244190413928,1.0,1.0,1.0,0.1858107316158372,1.0,0.8017164984073615,0.3365666645927835,0.5562162722508032,0.0,0.4159216759732806,0.7430096135045677,0.6525792418691664,1.0,,1.0,0.0,0.3318519024526767,0.3361815493924879,0.3706198919029159,0.3924842110932995,0.7320170519187523,0.9895414211468692,0.4493312860705774,0.199090652575652,1.0,0.8616219368440033,0.2172854442976177,0.5668821521012827,1.0,0.8566191985901976,BABA,Retail Trade,Alibaba Group Holding Limited
23,0.2805789509336826,1.0,0.8507150050269316,0.3875156698224214,0.2295789110032052,0.2199489074019107,1.0,0.402305748146468,0.2789897744884463,0.3095937756004516,0.3852904839975446,1.0,1.0,1.0,0.4392521126599517,0.2995225704618798,0.4392521126599517,0.9449088567258412,0.1140904947467018,1.0,1.0,0.1390213546070209,0.4302101400427298,1.0,0.5096324392413346,0.7842195416753626,0.0,1.0,0.8472906539369377,0.8480003195579524,0.7413857000093611,0.8105895225312532,0.4269587414447848,0.0,0.5588837446079452,0.0,0.045627338143095,0.7043871373384424,0.1245403871777686,0.9679185914998136,0.6691391928677987,0.8538194781630133,ABBV,Health Technology,AbbVie Inc.
18,0.661254995822702,1.0,0.8554190608238529,0.737992878402178,1.0,0.1316931690885178,0.4055806220281971,0.3635797904019254,0.3958092686427202,0.6809709932873322,0.7384750464261571,1.0,1.0,1.0,1.0,0.6542152105456449,1.0,1.0,0.2353759369813508,1.0,0.0677266085357901,0.0,0.2289548476621951,0.23587320095073,0.5678253196047024,0.4290564500458348,0.0,1.0,0.2871399654415681,0.4110988892602152,0.559735667714705,0.5813772340715568,0.4407284556144629,0.2084356926042708,0.3148471534528355,0.2854952450934587,0.0770933418235018,0.8857461388717593,0.2016138175166434,1.0,0.3761005472695868,0.8435605417991403,HD,Retail Trade,"Home Depot, Inc. (The)"
