,Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Free Cash Flow (Quarterly YoY Growth)
0,AAPL,Apple Inc.,143.0,2264578329700.288,23.91471788,6.1445,164000.0,Electronic Technology,19.89177326,28.26149804,22.74253402
1,MSFT,Microsoft Corporation,242.71,1806685625342.722,27.59172782,9.0309,221000.0,Technology Services,16.09287573,32.858728,-43.13406849
2,GOOG,Alphabet Inc.,97.95,1258830294324.446,20.26602809,5.0893,156500.0,Technology Services,56.41294961,26.0252905,-14.11858974
3,AMZN,"Amazon.com, Inc.",100.55,1025776318117.522,93.88429752,1.1147,1608000.0,Retail Trade,-156.80450548,-3.13437855,41.03141672
4,BRK.A,Berkshire Hathaway Inc.,465039.98,675833511040.2534,,-1194.0,372000.0,Finance,-2.30185718,9.46960093,-10.58213528
5,TSLA,"Tesla, Inc.",166.66,526271003829.3028,54.96678511,3.6018,99290.0,Consumer Durables,83.80671339,9.25812385,149.39485628
6,V,Visa Inc.,229.1,471816316853.152,33.02794189,7.1988,26500.0,Commercial Services,23.1166506,60.99965882,-3.37521557
7,NVDA,NVIDIA Corporation,191.62,471385185871.965,86.63745427,2.3817,22473.0,Electronic Technology,73.24243715,30.21475812,-110.63993832
8,XOM,Exxon Mobil Corporation,113.56,467673407449.5145,9.41909728,12.274,63000.0,Energy Minerals,1479.22723795,12.85266122,111.31769538
9,UNH,UnitedHealth Group Incorporated,485.79,453897418486.4858,22.94387825,,,Health Services,17.67308563,7.21984687,-313.99128022
10,JNJ,Johnson & Johnson,162.0,423546299790.3941,24.96438535,,,Health Technology,,,
11,JPM,JP Morgan Chase & Co.,139.13,408096843820.838,11.60897478,12.104,,Finance,,,
12,META,"Meta Platforms, Inc.",147.06,390914468888.9774,14.45500791,10.5709,71970.0,Technology Services,65.52132701,33.16911023,-96.75736498
13,WMT,Walmart Inc.,142.15,383350135104.8015,44.28580258,3.2509,2300000.0,Retail Trade,-57.09027509,1.93363992,531.77257525
14,MA,Mastercard Incorporated,371.12,356944342873.0426,36.58496029,10.2557,,Commercial Services,24.54105192,49.72793093,-3.07336418
15,CVX,Chevron Corporation,174.2,336839829647.1787,9.82986043,18.3381,,Energy Minerals,73.69956923,15.90890772,6.16966581
16,LLY,Eli Lilly and Company,340.5,336115777542.0097,51.37948125,6.6754,35000.0,Health Technology,16.41723888,21.01425222,21.09694863
17,PG,Procter & Gamble Company (The),141.01,332662918831.9911,24.68739024,5.868,106000.0,Consumer Non-Durables,-12.94276181,16.91920137,-36.24026696
18,HD,"Home Depot, Inc. (The)",314.24,320269002977.151,19.08460889,16.6477,490600.0,Retail Trade,-14.47850513,9.26520108,-24.56268222
19,BABA,Alibaba Group Holding Limited,111.2,317239102994.3459,318.4826473,0.3893,254941.0,Retail Trade,-49.90025166,10.48399764,
20,BAC,Bank of America Corporation,35.3,283191860244.7673,11.12156863,3.2066,,Finance,,,
21,MRK,"Merck & Company, Inc.",106.09,268980154215.3108,17.5323595,6.0326,68000.0,Health Technology,65.88255495,19.75381847,23.47586207
22,KO,Coca-Cola Company (The),60.64,262238516338.7799,26.51558322,2.2937,79000.0,Consumer Non-Durables,29.89500404,29.07090843,-5.68844807
23,ABBV,AbbVie Inc.,145.65,257579178123.98483,19.49594168,7.5334,50000.0,Health Technology,30.97081596,39.13020268,-3.79632029
24,PFE,"Pfizer, Inc.",43.55,244459849544.08652,8.4325053,5.3098,79000.0,Health Technology,145.29030139,36.74466096,-10.87808702
25,AVGO,Broadcom Inc.,581.45,242979891457.618,22.54508139,27.4455,20000.0,Electronic Technology,22.45326927,49.12809084,29.19200695
26,ORCL,Oracle Corporation,87.35,235517687754.46176,27.78679823,3.2868,143000.0,Technology Services,-63.43804538,11.84731385,65.57412633
27,PEP,"PepsiCo, Inc.",169.48,233494153327.5599,24.26192928,7.0288,309000.0,Consumer Non-Durables,9.69715989,8.79725172,1.35419801
28,COST,Costco Wholesale Corporation,503.28,223319952236.5804,38.04070958,13.2594,304000.0,Retail Trade,-34.80446927,1.54260335,-29.50522015
29,TMO,Thermo Fisher Scientific Inc,564.29,221312032540.7921,32.25975165,17.9173,130000.0,Health Technology,-0.38151137,17.31401903,-34.61900282
30,MCD,McDonald's Corporation,270.89,198406301112.08243,34.32177769,7.993,200000.0,Consumer Services,53.565868,30.57972949,-10.09308699
31,CSCO,"Cisco Systems, Inc.",48.22,198092721124.29227,17.53732692,2.7758,83300.0,Electronic Technology,-13.63636364,24.72797098,14.55370651
32,DIS,Walt Disney Company (The),107.59,196543790336.61264,63.58623092,1.7266,220000.0,Consumer Services,-46.73038229,1.28239283,-9.59264126
33,NKE,"Nike, Inc.",126.37,195957631666.30032,36.01423287,3.59,79100.0,Consumer Non-Durables,-25.69607514,9.46743033,-70.33734005
34,ABT,Abbott Laboratories,109.81,191461826028.50974,28.11301457,,,Health Technology,,,
35,DHR,Danaher Corporation,262.75,191272209301.58652,27.54585279,9.7935,,Health Technology,4.28935447,23.40885259,15.62990068
36,TMUS,"T-Mobile US, Inc.",146.98,182865775287.64355,120.10313498,1.227,75000.0,Communications,432.49042146,8.67345665,-43.50523459
37,ACN,Accenture plc,274.32,180609123083.0864,25.18232596,11.1543,721000.0,Technology Services,5.09963293,14.32458894,13.56471936
38,WFC,Wells Fargo & Company,46.29,176387622768.35452,14.68836587,3.1703,,Finance,,,
39,VZ,Verizon Communications Inc.,41.05,172402500975.09103,8.04306523,5.0584,117100.0,Communications,-27.00358386,10.27076406,-14.65163934
40,CMCSA,Comcast Corporation,39.24,169650552047.0,33.25774754,,,Consumer Services,-20.95433607,13.00122707,-50.26818279
41,ADBE,Adobe Inc.,363.42,166373667728.91333,36.69851012,10.1235,29239.0,Technology Services,7.46875908,42.43258749,13.57397051
42,CRM,"Salesforce, Inc.",164.75,164750004277.97226,592.86486486,0.2787,73541.0,Technology Services,23.63340784,22.96542352,-32.86713287
43,MS,Morgan Stanley,95.96,162182896646.91556,15.78655714,6.2159,,Finance,,,
44,PM,Philip Morris International Inc,103.83,160957505060.16934,18.4817071,5.6197,69600.0,Consumer Non-Durables,21.81324647,35.79085051,-24.26035503
45,LIN,Linde plc,325.03,160688180321.61148,42.95371265,7.6247,72327.0,Process Industries,64.78034252,21.56009483,3.25068871
46,NFLX,"Netflix, Inc.",353.11,157256393604.17575,36.24153658,10.1052,12800.0,Technology Services,1326.38984656,5.11940485,158.36859885
47,TXN,Texas Instruments Incorporated,173.13,157127896169.56534,18.63026514,9.5214,,Electronic Technology,-5.8945027,29.57359696,0.0
48,BMY,Bristol-Myers Squibb Company,72.03,153147309603.9884,23.61165428,3.0919,32200.0,Health Technology,14.54996616,32.84251374,-31.14491593
49,UPS,"United Parcel Service, Inc.",176.97,153047355639.05072,14.2684752,12.8308,534000.0,Transportation,114.24608678,11.12402782,-33.98421271
50,COP,ConocoPhillips,120.53,150188958498.7247,8.87320809,13.986,9900.0,Energy Minerals,13316.09195402,25.34306062,78.62660944
51,NEE,"NextEra Energy, Inc.",75.05,149136629858.149,36.15230077,,,Utilities,-434.29602888,-7.06241649,-66.02907422
52,QCOM,QUALCOMM Incorporated,131.63,147557223248.78214,11.72747253,11.5171,51000.0,Electronic Technology,-20.9759482,15.46153846,25.50231839
53,RTX,Raytheon Technologies Corporation,98.71,145109698458.04034,28.4839992,3.5244,,Electronic Technology,-1.1545473,7.27554641,74.43365696
54,T,AT&T Inc.,20.16,143680325494.2316,,-1.2224,,Communications,-51.25049155,10.26743194,-68.61107369
55,SCHW,Charles Schwab Corporation (The),75.5,140938819949.02936,21.30894982,3.5214,,Finance,,,
56,HON,Honeywell International Inc.,205.78,138350479065.71884,26.62428204,7.8904,99000.0,Electronic Technology,-2.99886835,14.95623346,108.45225027
57,CAT,"Caterpillar, Inc.",261.5,136087052766.0089,19.22082074,13.8493,107700.0,Producer Manufacturing,12.20322887,9.26957477,61.66522116
58,AMGN,Amgen Inc.,251.59,134243178287.49948,20.33168745,12.5397,24200.0,Health Technology,-15.24926686,32.25074075,29.50367647
59,PDD,Pinduoduo Inc.,97.15,132355900696.0,34.57409915,3.439,9762.0,Retail Trade,-3.08124235,27.13762164,
60,AXP,American Express Company,172.66,129017190286.40022,17.44646383,,,Finance,,,
61,DE,Deere & Company,420.6,125438582482.99684,17.92794183,23.4613,82200.0,Producer Manufacturing,-82.29692965,1.73490764,10.73401736
62,BA,Boeing Company (The),209.67,124959799674.75632,,-8.2901,156000.0,Electronic Technology,152.09281165,3.43807708,533.80566802
63,SBUX,Starbucks Corporation,108.4,124421521461.6401,38.47945786,2.8456,402000.0,Consumer Services,-30.39019843,12.97493197,-34.56880979
64,UNP,Union Pacific Corporation,200.2,123083128254.45428,18.03961067,11.2394,,Transportation,-5.80708661,23.08341709,-11.44343303
65,IBM,International Business Machines Corporation,135.3,122328301879.72916,76.37965331,1.817,,Technology Services,-20.11365754,14.16652899,45.34161491
66,LOW,"Lowe's Companies, Inc.",201.91,122095500368.58864,19.84495668,10.2303,340000.0,Retail Trade,-10.77986606,8.58181818,-7.16594828
67,GS,"Goldman Sachs Group, Inc. (The)",357.46,121048322045.21815,11.76705424,30.5424,,Finance,,,
68,SPGI,S&P Global Inc.,366.14,119288412209.84483,31.21989967,12.0089,22850.0,Commercial Services,2.06244629,42.94323249,-17.3096976
69,LMT,Lockheed Martin Corporation,460.59,117587386003.58112,21.17445428,21.7908,116000.0,Electronic Technology,-20.35329264,9.29316198,-66.26604753
70,INTU,Intuit Inc.,416.45,116991362322.8282,64.39040741,6.6588,17300.0,Technology Services,17.29865246,29.41222694,122.31404959
71,AMD,"Advanced Micro Devices, Inc.",72.45,116815200295.37463,45.17675255,1.6877,15500.0,Electronic Technology,314.41441441,19.59352562,10.20942408
72,ELV,"Elevance Health, Inc.",489.08,116805790425.933,19.86680973,,,Health Services,-0.4122578,4.62786168,-236.33633634
73,INTC,Intel Corporation,27.95,115629149373.70564,14.43362378,1.965,131900.0,Electronic Technology,-199.53425792,-15.25200622,209.20980926
74,CVS,CVS Health Corporation,87.05,114380818703.50934,37.23909723,2.3999,300000.0,Retail Trade,17.25498957,5.39332386,73.88560961
75,BX,Blackstone Inc.,94.9,113682238783.95683,40.47629101,2.3697,,Finance,,,
76,BLK,"BlackRock, Inc.",747.86,112325259317.49454,22.35512367,34.3072,,Finance,,,
