Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Basic EPS (TTM),EPS Diluted (FY),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
AAPL,Apple Inc.,143,2264578329700.2876,23.91471788,5.96500273,6.1445,6.1132,18.34790932,2508880000000,15836200000
MSFT,Microsoft Corporation,242.71,1806685625342.722,27.59172782,9.08649779,9.0309,9.647,18.82100259,1770650000000,7443800000
GOOG,Alphabet Inc.,97.95,1258830294324.446,20.26602809,5.01795045,5.0893,5.6099,13.08981291,1257450000000,12943000000
AMZN,"Amazon.com, Inc.",100.55,1025776318117.522,93.88429752,2.10326637,1.1147,3.2392,21.67375451,1253090000000,10201700000
BRK.A,Berkshire Hathaway Inc.,465039.98,675833511040.2534,,2.33146205,-1194,59460,13.22693577,618290000000,1464812.66666667
TSLA,"Tesla, Inc.",166.66,526271003829.3028,54.96678511,8.24114983,3.6018,1.6309,33.96761852,905545000000,3157750000
V,Visa Inc.,229.1,471816316853.152,33.02794189,16.11577434,7.1988,6.8492,22.70918678,440603000000,2059430529.9534996
NVDA,NVIDIA Corporation,191.62,471385185871.965,86.63745427,17.81563222,2.3817,3.8469,53.31739434,344317000000,2460000000
XOM,Exxon Mobil Corporation,113.56,467673407449.5145,9.41909728,1.239183,12.274,5.3895,5.94462572,387299000000,4118290000
UNH,UnitedHealth Group Incorporated,485.79,453897418486.4858,22.94387825,1.41993617,,21.179,,564600000000,934349000
JNJ,Johnson & Johnson,162,423546299790.3941,24.96438535,4.69305686,,6.7349,,,2614480000
JPM,JP Morgan Chase & Co.,139.13,408096843820.838,11.60897478,2.64844483,12.104,12.0848,,940100000000,2933200000
META,"Meta Platforms, Inc.",147.06,390914468888.9774,14.45500791,3.45193566,10.5709,13.7706,8.9248149,349045000000,2658196470
WMT,Walmart Inc.,142.15,383350135104.8015,44.28580258,0.64735633,3.2509,4.8745,13.88414118,447780000000,2696800000
MA,Mastercard Incorporated,371.12,356944342873.0426,36.58496029,16.20802277,10.2557,10.22,27.4454756,340969000000,961803000
CVX,Chevron Corporation,174.2,336839829647.1787,9.82986043,1.45597052,18.3381,18.28,6.16402002,350971000000,1933640000
LLY,Eli Lilly and Company,340.5,336115777542.0097,51.37948125,10.57439354,6.6754,6.1224,34.55025215,305486000000,987124000
PG,Procter & Gamble Company (The),141.01,332662918831.9911,24.68739024,4.34451843,5.868,5.806,18.03228508,405180000000,2359140000
HD,"Home Depot, Inc. (The)",314.24,320269002977.151,19.08460889,2.05971016,16.6477,15.5321,13.67293654,352770000000,1019190000
BABA,Alibaba Group Holding Limited,111.2,317239102994.3459,318.4826473,2.38341285,0.3893,3.5431,14.30767909,178999000000,2623200000
BAC,Bank of America Corporation,35.3,283191860244.7673,11.12156863,2.49331279,3.2066,3.19,,766729000000,8022430000
MRK,"Merck & Company, Inc.",106.09,268980154215.31076,17.5323595,4.47026166,6.0326,5.1414,12.13985341,238019000000,2535400000
KO,Coca-Cola Company (The),60.64,262238516338.7799,26.51558322,6.19233853,2.2937,2.2514,23.60129089,271461000000,4324510000
ABBV,AbbVie Inc.,145.65,257579178123.98483,19.49594168,4.49321642,7.5334,6.4536,10.5512577,296117000000,1768480000
PFE,"Pfizer, Inc.",43.55,244459849544.08655,8.4325053,2.5069456,5.3098,3.8798,6.04574649,251025000000,5613310000
AVGO,Broadcom Inc.,581.45,242979891457.618,22.54508139,7.63589766,27.4455,26.5319,14.21028651,230436000000,417886000
ORCL,Oracle Corporation,87.35,235517687754.46176,27.78679823,5.30389903,3.2868,2.411,17.05778668,312039000000,2696250000
PEP,"PepsiCo, Inc.",169.48,233494153327.5599,24.26192928,2.81236704,7.0288,5.4845,18.59712561,269366000000,1377710000
COST,Costco Wholesale Corporation,503.28,223319952236.5804,38.04070958,0.96840213,13.2594,13.1398,21.67574048,230166000000,443729000
TMO,Thermo Fisher Scientific Inc,564.29,221312032540.79214,32.25975165,5.13016166,17.9173,19.4584,20.21553189,226745000000,392196000
MCD,McDonald's Corporation,270.89,198406301112.08243,34.32177769,8.660324,7.993,10.0362,20.23163779,215092000000,732424000
CSCO,"Cisco Systems, Inc.",48.22,198092721124.29227,17.53732692,3.81853086,2.7758,2.8178,11.81241865,177923000000,4108100000.000001
DIS,Walt Disney Company (The),107.59,196543790336.61264,63.58623092,2.42213659,1.7266,1.7214,21.30245795,226258000000,1826780000
NKE,"Nike, Inc.",126.37,195957631666.30032,36.01423287,4.0796731,3.59,3.7534,29.50937096,174381000000,1550670000
ABT,Abbott Laboratories,109.81,191461826028.50974,28.11301457,4.41784757,,3.9303,,,1743570000
DHR,Danaher Corporation,262.75,191272209301.58655,27.54585279,6.30235093,9.7935,9.66,19.1550439,213282000000,727963000
TMUS,"T-Mobile US, Inc.",146.98,182865775287.64355,120.10313498,2.30715536,1.227,2.41,11.10590247,276224000000,1244150000
ACN,Accenture plc,274.32,180609123083.08636,25.18232596,2.83936398,11.1543,10.7096,15.72658953,190312000000,658389000
WFC,Wells Fargo & Company,46.29,176387622768.35452,14.68836587,2.40678781,3.1703,3.14,,371105000000,3810490000
VZ,Verizon Communications Inc.,41.05,172402500975.09103,8.04306523,1.24947915,5.0584,5.0585,7.26833402,340801000000,4199819999.999999
CMCSA,Comcast Corporation,39.24,169650552047,33.25774754,1.39906281,,1.2122,7.19890188,241178000000,4323404375
ADBE,Adobe Inc.,363.42,166373667728.91333,36.69851012,9.90998508,10.1235,10.0977,24.51523088,157690000000,457800000
CRM,"Salesforce, Inc.",164.75,164750004277.97226,592.86486486,5.43077837,0.2787,1.4826,31.31947646,165316000000,1000000000
MS,Morgan Stanley,95.96,162182896646.91556,15.78655714,2.46499341,6.2159,6.15,,404276000000,1690110000
PM,Philip Morris International Inc,103.83,160957505060.16934,18.4817071,5.10672671,5.6197,5.8262,14.05930713,152413000000,1550200000
LIN,Linde plc,325.03,160688180321.61148,42.95371265,4.81958741,7.6247,7.3313,16.45644668,147998000000,494380000
NFLX,"Netflix, Inc.",353.11,157256393604.17575,36.24153658,5.15383758,10.1052,9.9535,8.57891115,144055000000,445347000
TXN,Texas Instruments Incorporated,173.13,157127896169.56534,18.63026514,8.01477132,9.5214,9.406,13.87920821,151010000000,907572000
BMY,Bristol-Myers Squibb Company,72.03,153147309603.9884,23.61165428,3.32968035,3.0919,3.1154,9.27662556,183683000000,2126159999.9999995
UPS,"United Parcel Service, Inc.",176.97,153047355639.05072,14.2684752,1.57467625,12.8308,14.6811,10.11419282,153377000000,864821000
COP,ConocoPhillips,120.53,150188958498.7247,8.87320809,2.09281947,13.986,6.0829,4.89918404,136441000000,1246070000
NEE,"NextEra Energy, Inc.",75.05,149136629858.149,36.15230077,5.27567036,,2.0997,14.03149903,239077000000,1987160000
QCOM,QUALCOMM Incorporated,131.63,147557223248.78214,11.72747253,3.41942942,11.5171,11.3773,9.61893335,147085000000,1121000000
RTX,Raytheon Technologies Corporation,98.71,145109698458.04034,28.4839992,2.19219787,3.5244,3.5,18.57567322,177850000000,1470060000
T,AT&T Inc.,20.16,143680325494.2316,,1.10568983,-1.2224,-1.2178,7.07653844,291695000000,7127000000
SCHW,Charles Schwab Corporation (The),75.5,140938819949.02936,21.30894982,6.27132156,3.5214,3.5,8.21406429,110646000000,1815850000
HON,Honeywell International Inc.,205.78,138350479065.71884,26.62428204,4.04950465,7.8904,7.9126,18.42399173,124085000000,672322000
CAT,"Caterpillar, Inc.",261.5,136087052766.0089,19.22082074,2.46505306,13.8493,11.8305,16.5610237,116779000000,520409000
AMGN,Amgen Inc.,251.59,134243178287.49947,20.33168745,5.21550545,12.5397,10.2845,12.64041298,148491000000,533578999.99999994
PDD,Pinduoduo Inc.,97.15,132355900696,34.57409915,8.42506336,3.439,0.8433,,66450399999.99999,1264385750
AXP,American Express Company,172.66,129017190286.40022,17.44646383,2.36197236,,9.992,,,747233000
DE,Deere & Company,420.6,125438582482.99683,17.92794183,2.40522767,23.4613,23.2811,15.1572999,166676000000,298237000
