Ticker,Description,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Net Debt (MRQ),Quick Ratio (MRQ),Total Assets (MRQ),Total Debt (MRQ),Total Current Assets (MRQ)
AAPL,Apple Inc.,0.87935603,2.61446164,84176000000,0.84723539,352755000000,132480000000,135405000000
MSFT,Microsoft Corporation,1.93131256,0.42583108,-21523000000,1.89484569,364552000000,77985000000,157823000000
GOOG,Alphabet Inc.,2.51760409,0.11566637,-86923000000,2.46977068,358255000000,29336000000,166109000000
XOM,Exxon Mobil Corporation,1.34071053,0.23532581,14964000000,1.01533954,370152000000,45428000000,99289000000
CVX,Chevron Corporation,1.39638858,0.14564846,5438000000,,257709000000,23339000000,51503000000
BRK.A,Berkshire Hathaway Inc.,4.04776443,0.26449982,13703000000,3.54356646,902296000000,122661000000,201522000000
AMZN,"Amazon.com, Inc.",0.93659298,1.05157504,85687000000,0.67550565,428362000000,144580000000,131463000000
VZ,Verizon Communications Inc.,0.75455941,1.9070439,173726000000,0.70696219,379680000000,176331000000,37857000000
META,"Meta Platforms, Inc.",2.57041477,0.21339468,-15527000000,2.57041477,178894000000,26481000000,58315000000
T,AT&T Inc.,0.58939348,1.45297162,150978000000,0.53379738,402853000000,154679000000,33108000000
PFE,"Pfizer, Inc.",1.58873042,0.39475299,546000000,1.37405786,195350000000,36669000000,70403000000
CMCSA,Comcast Corporation,0.78265859,1.15569614,90062000000,,257275000000,94811000000,21826000000
COP,ConocoPhillips,1.46124169,0.34558569,6539000000,1.3736515,94837000000,16961000000,20453000000
WMT,Walmart Inc.,0.86462607,0.81335606,53793000000,0.22655017,247656000000,65380000000,87680000000
ABBV,AbbVie Inc.,0.92822206,4.34304611,57727000000,0.83125459,141325000000,69606000000,30364000000
HD,"Home Depot, Inc. (The)",1.3871911,38.29969183,47251000000,0.32792422,76866000000,49713000000,33681000000
TMUS,"T-Mobile US, Inc.",0.81279873,1.62742694,107276000000,0.7275624,213499000000,114164000000,21427000000
MRK,"Merck & Company, Inc.",1.45930081,0.6831821,19036000000,1.21519263,107081000000,30418000000,33561000000
V,Visa Inc.,1.43951842,0.55484238,1910000000,1.43951842,85387000000,20487000000,27859000000
CHTR,"Charter Communications, Inc.",0.33294654,7.88756076,98336000000,0.33294654,145370000000,98981000000,4017000000
GM,General Motors Company,1.14264619,1.61404389,80000000000,0.95233887,260529000000,112607000000,98271000000
MPC,Marathon Petroleum Corporation,1.65548466,0.82593634,16761000000,1.19409778,89694000000,27896000000,35285000000
OXY,Occidental Petroleum Corporation,1.10258349,0.76211699,20624000000,0.85847511,72144000000,21888000000,8749000000
PG,Procter & Gamble Company (The),0.56434213,0.77992174,28028000000,0.36971558,117715000000,34882000000,21866000000
NFLX,"Netflix, Inc.",1.16839029,0.81490288,10873112000,1.16839029,48594768000,16931563999.999998,9266473000
BMY,Bristol-Myers Squibb Company,1.4155309,1.22533146,30919000000,1.30596936,98196000000,40110000000,26796000000
BABA,Alibaba Group Holding Limited,1.77011761,0.14913309,-51586332355.5949,1.77011761,241509899593.859,22766245487.3643,95570425315.883
CVS,CVS Health Corporation,0.94381914,1.00085902,50932000000,0.69443025,231212000000,71072000000,68341000000
VLO,Valero Energy Corporation,1.3821087,0.49382454,7607000000,0.99541836,59329000000,11635000000,24133000000
AVGO,Broadcom Inc.,2.62393647,1.7604474,27562000000,2.35096427,73249000000,39978000000,18504000000
ORCL,Oracle Corporation,0.64786394,-24.078125,83569000000,0.64786394,128469000000,90919000000,17561000000
BN,Brookfield Corporation,,1.55848809,188456200325.18,,416169227349.5,207315125064,
EOG,"EOG Resources, Inc.",1.77532196,0.22302822,47000000,1.62356422,40487000000,5319000000,10201000000
UPS,"United Parcel Service, Inc.",1.39136829,1.40510949,12494000000,1.39136829,69544000000,23870000000,24598000000
QCOM,QUALCOMM Incorporated,1.74650261,0.89707434,9777000000,1.15304231,49014000000,16159000000,20724000000
TSLA,"Tesla, Inc.",1.46235423,0.1428363,-15615000000,1.04274511,74426000000,5874000000,35990000000
CSCO,"Cisco Systems, Inc.",1.45167898,0.2446613,-9931000000,1.34467384,93054000000,9853000000,36141000000
NEE,"NextEra Energy, Inc.",0.50533808,1.3443281,63365000000,0.43289005,158935000000,64966000000,13490000000
INTC,Intel Corporation,1.56762556,0.41109153,14122000000,1.15636759,182103000000,42460000000,50407000000
BNTX,BioNTech SE,5.35558531,0.01491863,-12882103605,5.28109761,22199456790,268424100,20764465470
PEP,"PepsiCo, Inc.",0.91774841,2.05095375,32503000000,0.72209878,94461000000,39245000000,23543000000
MU,"Micron Technology, Inc.",3.51279693,0.22210279,370000000,2.23172414,67874000000,10951000000,22921000000
IBM,International Business Machines Corporation,0.89354071,2.45279506,45172000000,0.84427869,127243000000,54013000000,28151000000
MRNA,"Moderna, Inc.",2.10033789,0.07008671,-7087000000,1.79521081,26056000000,1261000000,14297000000
MA,Mastercard Incorporated,1.17182979,2.19899639,6026000000,,38724000000,14023000000,16606000000
PXD,Pioneer Natural Resources Company,1.02709832,0.24349645,3760000000,0.9263789,35746000000,5588000000,4283000000
PM,Philip Morris International Inc,0.91637782,-3.67702283,21847000000,0.57202003,40717000000,27221000000,19035000000
AMGN,Amgen Inc.,1.67901751,10.59512729,27226000000,1.34707976,63700000000,38704000000,24062000000
LOW,"Lowe's Companies, Inc.",1.19711631,-2.96953684,34556000000,0.24784441,46973000000,38212000000,24991000000
TMO,Thermo Fisher Scientific Inc,1.73583378,0.66686487,26227000000,1.22117287,90536000000,29160000000,19299000000
KO,Coca-Cola Company (The),1.12593871,1.62002783,26367000000,0.95298288,92471000000,39587000000,24139000000
F,Ford Motor Company,1.19875342,3.0831096,89592000000,1.03003316,246919000000,129765000000,108088000000
MO,"Altria Group, Inc.",0.49648018,-6.21242911,23793000000,0.35988638,33953000000,26291000000,4020000000
UNP,Union Pacific Corporation,0.71594203,2.84683055,33607000000,,65449000000,34626000000,3952000000
MCD,McDonald's Corporation,1.6467686,-7.20171484,44459600000,1.63431915,48501600000,47287900000,5740800000
HCA,"HCA Healthcare, Inc.",1.37780246,-545.69863014,38928000000,1.16895577,52438000000,39836000000,13643000000
GILD,"Gilead Sciences, Inc.",1.30039336,1.19784395,18985000000,1.1600307,62557000000,25223000000,13554000000
LNG,"Cheniere Energy, Inc.",0.76864,-6.89930716,26536000000,0.64821333,43642000000,29874000000,7206000000
DIS,Walt Disney Company (The),0.93585113,0.48219196,40641000000,0.875933,203631000000,52259000000,27208000000
ET,Energy Transfer LP,1.08147292,1.17512969,47907000000,0.86000178,105735000000,48252000000,12159000000
DVN,Devon Energy Corporation,1.15867052,0.61188335,5425000000,1.15867052,23557000000,6735000000,4009000000
NUE,Nucor Corporation,3.39319923,0.3419204,1833552000,2.13364878,32479210000,6691350000,14691684000
ACN,Accenture plc,1.25590225,0.13944283,-2603751000,1.25590225,47115774000,3300047000,20672460000
SCHW,Charles Schwab Corporation (The),,1.03551913,-45300000000,,551800000000,37900000000,
TXN,Texas Instruments Incorporated,4.69715243,0.59923167,-332000000,3.77353434,27207000000,8735000000,14021000000
DE,Deere & Company,1.27284528,2.56427764,46693000000,1.01639245,90030000000,52201000000,42163000000
DUK,Duke Energy Corporation (Holding Company),0.76702933,1.41691426,73302000000,0.56084437,176340000000,73919000000,12972000000
DHR,Danaher Corporation,1.89331267,0.3928329,13682000000,1.5225891,84350000000,19677000000,15883000000
LIN,Linde plc,0.74384171,0.39389815,11582000000,0.62067592,74323000000,15338000000,11203000000
PSX,Phillips 66,1.30130858,0.53009697,13913000000,1.06117884,77339000000,17657000000,23270000000
COST,Costco Wholesale Corporation,1.03275169,0.42121438,-2627000000,0.47113436,66027000000,9046000000,34150000000
LLY,Eli Lilly and Company,1.12694853,1.5629113,13146300000,0.8821936,47461500000,15888400000,17639900000
CAT,"Caterpillar, Inc.",1.40974108,2.33804891,30179000000,0.8514999,80907000000,36525000000,42577000000
FCX,"Freeport-McMoRan, Inc.",2.4606777,0.42700334,2474000000,1.64428684,51093000000,10620000000,15613000000
FDX,FedEx Corporation,1.29759954,1.57727555,33390000000,1.2509438,85591000000,38036000000,18217000000
SO,Southern Company (The),0.80954613,1.58603505,54641000000,0.60010937,134005000000,56650000000,10363000000
LMT,Lockheed Martin Corporation,1.32126896,1.79646018,14099000000,1.1268962,52880000000,16646000000,20991000000
EQT,EQT Corporation,0.58790669,0.49378984,4681778000,0.58790669,22541137000,4769319000,3902467000
RTX,Raytheon Technologies Corporation,1.08511019,0.45139731,27280000000,0.81367285,158864000000,33500000000,42443000000
NVDA,NVIDIA Corporation,3.38774617,0.55028339,-1395000000,2.73800146,40488000000,11748000000,23223000000
MDT,Medtronic plc.,1.7558244,0.51130492,15187000000,1.40636018,93241000000,26617000000,25398000000
ZIM,ZIM Integrated Shipping Services Ltd.,1.5785795,0.80528768,1527200000,1.49890568,11994600000,4684600000,4471800000
EPD,Enterprise Products Partners L.P.,0.8592696,1.08072157,28914000000,0.61324339,68441000000,29655000000,11082000000
DELL,Dell Technologies Inc.,0.69657931,-8.36104513,22951000000,0.57790297,85172000000,28160000000,36227000000
SWN,Southwestern Energy Company,0.36727206,3.56506365,5030000000,0.36727206,13104000000,5041000000,2002000000
DOW,Dow Inc.,1.80716618,0.78627571,12766000000,1.19045098,60603000000,16706000000,20477000000
KR,Kroger Company (The),0.75560943,2.03988317,18129000000,0.26705378,49987000000,20254000000,13403000000
HON,Honeywell International Inc.,1.24385665,0.97873153,9982000000,0.94008504,60287000000,17947000000,22525000000
AMAT,"Applied Materials, Inc.",2.15815151,0.47802198,3248000000,1.35424854,26726000000,5829000000,15925000000
TECK,Teck Resources Ltd,1.65135195,0.38018742,5276425200,1.08353484,36364122400,7182644000,5428171200
FANG,"Diamondback Energy, Inc.",0.61442193,0.36797637,5323000000,0.57926103,23843000000,5357000000,1031000000
CHK,Chesapeake Energy Corporation,0.48584238,0.43374823,2619000000,0.48584238,14089000000,2753000000,2059000000
LUMN,"Lumen Technologies, Inc.",1.04956971,2.0381649,25381000000,1.02903041,54817000000,25634000000,9147000000
LYB,LyondellBasell Industries NV,1.6148808,1.04148064,11344000000,0.93987425,36491000000,12830000000,12328000000
DHI,"D.R. Horton, Inc.",6.18364728,0.27919854,3125700000,0.74921311,30264500000,5738200000,25539700000
TGT,Target Corporation,0.85746121,1.75360741,18369000000,0.13774545,55615000000,19323000000,20393000000
SBUX,Starbucks Corporation,0.76692017,-2.73659282,20621900000,0.52908717,27978400000,23804800000,7018700000
KMI,"Kinder Morgan, Inc.",0.54877345,0.98984866,31043000000,,70078000000,31788000000,3803000000
D,"Dominion Energy, Inc.",0.71467302,1.53970532,43654000000,0.56958593,103535000000,43994000000,8699000000
CTRA,Coterra Energy Inc.,1.66077739,0.21199684,1898000000,1.6204947,20305000000,2686000000,2350000000
ADBE,Adobe Inc.,1.10679134,0.32972742,-1463000000,1.10679134,27165000000,4633000000,8996000000
PCG,Pacific Gas & Electric Co.,0.8704641,2.31268345,51596000000,0.81713838,117012000000,52003000000,12210000000
REGN,"Regeneron Pharmaceuticals, Inc.",5.35864129,0.12599119,-4320600000,4.52083912,27677800000,2701100000,15428600000
NKE,"Nike, Inc.",2.69114619,0.82012834,1904000000,1.77674282,39647000000,12525000000,27447000000
SLB,Schlumberger N.V.,1.24837743,0.67963756,9332000000,0.91562656,43135000000,12226000000,15003000000
AEP,"American Electric Power Company, Inc.",0.78740157,1.56591181,37604600000,0.69159542,91249400000,38384100000,9320000000
APA,APA Corporation,1.05060322,3.63829787,5375000000,0.88605898,13629000000,5643000000,3135000000
MOS,Mosaic Company (The),1.34489211,0.37084693,3640600000,0.60785919,23437600000,4352000000,6899700000
LRCX,Lam Research Corporation,3.01496001,0.60246874,415437000,1.95490972,19206381000,5003283000,13708788000
CF,"CF Industries Holdings, Inc.",2.6647357,0.45737636,1054000000,2.30267922,13280000000,3246000000,3680000000
FISV,"Fiserv, Inc.",1.06147191,0.68635006,20482000000,1.06147191,75640000000,21375000000,19875000000
EXC,Exelon Corporation,0.80933808,1.57281751,37473000000,0.72249627,93455000000,38663000000,7055000000
CAR,"Avis Budget Group, Inc.",0.71959213,-39.4556213,19422000000,0.71959213,25197000000,20004000000,1976000000
NSC,Norfolk Southern Corporation,0.75764439,1.19233488,14726000000,0.66213666,38885000000,15182000000,2007000000
AMD,"Advanced Micro Devices, Inc.",2.15513376,0.05298669,-2701000000,1.65162158,67811000000,2890000000,14420000000
MMM,3M Company,1.5423711,1.09681787,12307000000,0.97826315,46455000000,16200000000,14688000000
ADI,"Analog Devices, Inc.",2.02156752,0.19030496,5468960000,1.44845588,50302350000,6939532000,4937992000
HES,Hess Corporation,1.72412281,1.06111562,6664000000,,21729000000,9150000000,3931000000
MPLX,MPLX LP,0.78071228,1.48735615,20171000000,0.72028812,35812000000,20292000000,1951000000
DAL,"Delta Air Lines, Inc.",0.50156124,4.7413259,23938000000,0.44666744,72275000000,30610000000,13011000000
BIP,Brookfield Infrastructure Partners LP Limited Partnership,,1.16117187,28039000000,,71960000000,29092000000,1053000000
MMC,"Marsh & McLennan Companies, Inc.",,1.25332589,12030000000,,33454000000,13472000000,
MRO,Marathon Oil Corporation,1.08432744,0.37936891,3135000000,1.04195804,17858000000,4244000000,2636000000
WM,"Waste Management, Inc.",0.8513302,2.00556189,13882000000,0.80985915,29841000000,14063000000,3264000000
URI,"United Rentals, Inc.",1.11370143,1.7308128,12117000000,1.01881391,24839000000,12223000000,2723000000
STLD,"Steel Dynamics, Inc.",3.75831965,0.37927976,813943000,2.21820739,14159984000,3070575000,7638018000
TJX,"TJX Companies, Inc. (The)",1.15624194,2.22843397,9258694000,0.41483594,28428450000,12623372000,12988793000
GOLD,Barrick Gold Corporation,3.75502742,0.15770576,-143968836.85,2.9821755,46111729110.26,5058767060.35,8157572162.48
SCCO,Southern Copper Corporation,3.3400458,0.97273204,5235200000,2.63065733,17083200000,7420000000,4959300000
TSN,"Tyson Foods, Inc.",1.81253529,0.4450053,7784000000,0.77470356,36821000000,8816000000,9630000000
SRE,DBA Sempra,0.56980602,0.90767865,25851000000,0.50523226,75563000000,26585000000,4465000000
KHC,The Kraft Heinz Company,0.90490444,0.41515835,19073000000,0.4979277,89992000000,20070000000,7860000000
BKNG,Booking Holdings Inc. Common Stock,1.45265129,2.58038147,308000000,1.45265129,22063000000,9470000000,12410000000
CRM,"Salesforce, Inc.",0.9688923,0.24673552,2726000000,0.9688923,91884000000,14644000000,17660000000
FIS,"Fidelity National Information Services, Inc.",0.77485188,0.41559925,16984000000,0.77485188,78317000000,18916000000,10593000000
AER,AerCap Holdings N.V.,0.78145752,3.03454833,46217330000.1263,0.76908658,69811154000.1908,47474046000.1297,2713605000.00742
MDLZ,"Mondelez International, Inc.",0.69199078,0.83190851,19992000000,0.45506599,68036000000,22187000000,9910000000
EIX,Edison International,0.59528651,1.84242179,31628000000,0.55471349,76709000000,31861000000,6441000000
HPQ,HP Inc.,0.75712155,-4.2131597,9149000000,0.4667151,38587000000,12294000000,19801000000
VST,Vistra Corp.,1.10360171,2.30119621,12331000000,1.05406767,35175000000,12889000000,13145000000
VTRS,Viatris Inc.,1.60821296,1.05582751,19271700000,1.08985801,48662600000,20253200000,10487800000
OVV,Ovintiv Inc. (DE),0.51435479,0.69114504,4509000000,0.51435479,14374000000,4527000000,1702000000
AR,Antero Resources Corporation,0.38429463,0.7288439,4715811000,0.38429463,14413378000,4715811000,977654000
NEM,Newmont Corporation,2.71944923,0.28630841,2314000000,1.99053356,39143000000,6127000000,6320000000
X,United States Steel Corporation,2.03075444,0.38793922,721000000,1.36785199,19958000000,4085000000,8452000000
GD,General Dynamics Corporation,1.37298742,0.56527359,9254000000,0.96088912,51585000000,10496000000,21063000000
ACI,"Albertsons Companies, Inc.",0.80289278,19.28119658,11358200000,0.42308212,30214700000,15791300000,10685700000
XEL,Xcel Energy Inc.,1.03813991,1.54577637,24753000000,,59975000000,25326000000,5090000000
NOC,Northrop Grumman Corporation,1.06222491,0.97962382,12423000000,0.97781997,43755000000,15000000000,12308000000
UAL,"United Airlines Holdings, Inc.",1.00330132,5.40893271,20841000000,0.94782913,67358000000,37300000000,20058000000
ED,"Consolidated Edison, Inc.",0.83207547,1.2428013,25828000000,0.75471698,65763000000,26069000000,5733000000
NXPI,NXP Semiconductors N.V.,2.0823237,1.51144211,7403000000.02023,1.59117738,22940000000.062702,11162000000.0305,6703000000.01832
BDX,"Becton, Dickinson and Company",1.04224811,0.65528835,15400000000,0.62949686,52934000000,16567000000,8141000000
PYPL,"PayPal Holdings, Inc.",1.27475248,0.54081129,110000000,1.27475248,76435000000,10959000000,55105000000
WMB,"Williams Companies, Inc. (The)",0.88459239,1.68274623,22548000000,0.79549532,48672000000,23407000000,4438000000
ICE,Intercontinental Exchange Inc.,,0.82011597,11172000000,,211292000000,18387000000,
CARR,Carrier Global Corporation,1.61982372,1.25994908,6412000000,1.17678364,25350000000,9403000000,9740000000
WLK,Westlake Corporation,2.47907355,0.51972909,3517000000,1.65664364,20425000000,5295000000,6101000000
KLAC,KLA Corporation,2.30310228,2.39175342,3360006000,1.57506947,13729074000,6226356000,8020556000
ADP,"Automatic Data Processing, Inc.",0.98568581,1.11233134,1977200000,,54453000000,3322200000,46143600000
EMR,Emerson Electric Company,1.09373795,0.66597205,9062000000,0.81200977,35672000000,10866000000,8506000000
TX,Ternium S.A. Ternium S.A.,4.20713551,0.09620613,-1417304940.0174,2.30596046,17426589879.428097,1326021405.03525,8779344692.41725
ADM,Archer-Daniels-Midland Company,1.50719393,0.37751367,8143000000,,58304000000,9180000000,34569000000
HPE,Hewlett Packard Enterprise Company,0.88159144,0.67728163,8721000000,0.65888496,57123000000,13484000000,20430000000
SYK,Stryker Corporation,2.03850361,0.80325579,11727000000,1.18901772,35983000000,13224000000,9318000000
PCAR,PACCAR Inc.,1.43029114,0.80489394,5510200000,1.12429025,33275500000,10377900000,10277500000
BLDR,"Builders FirstSource, Inc.",1.92705191,0.70611088,3604167000,1.16022962,11537698000,3689149000,4420131000
WBD,"Warner Bros. Discovery, Inc. - Series A",0.86345053,1.06783147,50950000000,0.8532979,136049000000,53477000000,12672000000
CL,Colgate-Palmolive Company,1.28499623,10.87593052,7991000000,0.76375974,15731000000,8766000000,5113000000
MCK,McKesson Corporation,0.96052278,-5.77421938,4296000000,0.54949645,63081000000,7212000000,46448000000
CLF,Cleveland-Cliffs Inc.,2.32541899,0.61571271,4419000000,0.7773743,19688000000,4475000000,8325000000
SPGI,S&P Global Inc.,0.82765452,0.2845615,10107000000,0.82765452,61813000000,11496000000,4178000000
PBF,PBF Energy Inc.,1.21165582,0.54565775,752300000,0.71579491,13304300000,2660900000,6571900000
VRTX,Vertex Pharmaceuticals Incorporated,4.70279385,0.06328667,-8951600000,4.55401832,16706400000.000002,824600000,12271000000
ITW,Illinois Tool Works Inc.,1.41074681,2.53085601,6854000000,0.9537796,15226000000,7628000000,6196000000
ETN,"Eaton Corporation, PLC",1.28363144,0.58715767,8937000000,0.76837517,34364000000,9455000000,8540000000
EL,"Estee Lauder Companies, Inc. (The)",1.68203377,1.18482213,4556000000,1.10946689,19989000000,7494000000,8866000000
HTZ,"Hertz Global Holdings, Inc",1.97012401,5.29952916,13124000000,1.97012401,21694000000,14632000000,3495000000
ATUS,"Altice USA, Inc.",0.62990181,-78.44273913,25086940000,0.62990181,33282564000,26597658000,2500399000
DG,Dollar General Corporation,1.23288501,2.69746526,16075099000,0.13414445,29007158000,16437830000.000002,8017016000
AON,Aon plc,,-17.47313433,10764000000,,31223000000,11707000000,
SHW,Sherwin-Williams Company (The),0.99110843,4.03207505,12309100000,0.55047226,22594000000,12507900000,5907700000
DINO,HF Sinclair Corporation,2.10575362,0.38258449,2293753000,1.04565383,18226285000,3741112000,6827466000
AAL,"American Airlines Group, Inc.",0.7103182,-7.53354027,33727000000,0.60429847,64716000000,43687000000,15269000000
BX,Blackstone Inc.,,0.68395591,8967267000,,42524227000,13460982000,
ES,Eversource Energy (D/B/A),0.71433187,1.44463934,21811921000,0.65561007,51599425000,22297637000,3919654000
GPN,Global Payments Inc.,0.96065785,0.60720563,11762289000,0.96065785,43938749000,13888587000,5453352000
ETR,Entergy Corporation,0.68738228,2.22388686,26603120000,0.48191474,58975295000,27606611000,4230752000.000001
OMF,"OneMain Holdings, Inc.",,6.04316069,17183000000,,22341000000,18202000000,
RSG,"Republic Services, Inc.",0.69517669,1.25827933,11860300000,0.66322144,28401000000,11941700000,2199400000
APD,"Air Products and Chemicals, Inc.",1.81282821,0.60769646,5025200000,1.66446419,27192600000,8326900000,6282900000
AZO,"AutoZone, Inc.",0.76164042,-2.4592583,9116855000,0.11774363,15315933000,9438444000,6633118000
OKE,"ONEOK, Inc.",0.66817199,2.19557025,13836815000,0.50068307,24439243000,13859030000,2765322000
HAL,Halliburton Company,2.04901777,1.12109816,6597000000,1.50215154,23255000000,8943000000,10952000000
MCHP,Microchip Technology Incorporated,1.05420737,1.20194655,7028800000,0.64832178,16141100000,7335600000,2676000000
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,1.65565611,0.37059644,3457000000,0.99343891,21353000000,4250000000,7318000000
CTSH,Cognizant Technology Solutions Corporation,2.27024511,0.12711156,-1211000000,2.27024511,17347000000,1520000000,7317000000
STZ,"Constellation Brands, Inc.",1.29390826,1.39643443,11987300000,0.63262385,24463000000,12172300000,3525900000
NTES,"NetEase, Inc.",2.30747472,0.2644391,-12703657631.9944,2.29111618,24355210824.6838,4088943620.2616696,18557089068.1405
ABC,AmerisourceBergen Corporation,0.91057084,80.01393234,2169664000,0.51753361,56560616000,5702833000,39589758000
SYY,Sysco Corporation,1.20180263,10.06677255,11104378000,0.67914708,22210943000,11542048000,10767267000
TRGP,"Targa Resources, Inc.",0.73586351,2.3793169,10878800000,0.59698854,19389900000,11257500000,2497300000
DTE,DTE Energy Company,0.78851079,2.2193412,19892000000,0.5967801,41954000000,19943000000,4310000000
INTU,Intuit Inc.,1.36962406,0.47308147,4877000000,1.36962406,27085000000,7601000000,4554000000
AES,The AES Corporation,1.29244324,3.33308316,19667000000,1.12334802,37775000000,22205000000,7628000000
KDP,Keurig Dr Pepper Inc.,0.59795382,0.52890323,12348000000,0.38766763,51440000000,13276000000,4325000000
KMB,Kimberly-Clark Corporation,0.78115626,8.79123173,7995000000,0.47177529,17970000000,8422000000,5729000000
DD,"DuPont de Nemours, Inc.",2.3860991,0.47978669,10340000000,1.99384769,44099000000,12236000000,14350000000
MAR,Marriott International,0.51799775,9.80714958,9380000000,0.51799775,24763000000,10425000000,3684000000
LH,Laboratory Corporation of America Holdings,1.73325933,0.62021936,5861200000,1.54783333,19826000000,6271100000,4371800000
CCEP,Coca-Cola Europacific Partners plc,0.94093851,1.62430939,11065042800.0248,,31733589300.071,13216578900.0296,7295150100.01632
PH,Parker-Hannifin Corporation,1.30354749,1.5916259,13442166000,0.73428976,29954907000,13963977000,7167827000
CME,CME Group Inc.,,0.13982967,1724300000,,178431500000,3950300000,
VMW,"Vmware, Inc.",0.70152841,14.53722084,7719000000,0.70152841,28126000000,11717000000,7298000000
RRC,Range Resources Corporation,0.41268106,1.10806551,2240138000,0.41268106,6919776000,2397282000,862366000
PDCE,"PDC Energy, Inc.",0.48176007,0.36209077,1395960000,0.48176007,8028090000,1441609000,727965000
ZTS,Zoetis Inc.,2.27465278,1.44766195,4242000000,1.475,13674000000,6749000000,6551000000
ORLY,"O'Reilly Automotive, Inc.",0.69586649,-5.42575094,6473482000,0.09103456,12238028000,6540542000,4760756000
GIS,"General Mills, Inc.",0.57889707,1.13190193,11096100000,0.34852631,31319800000,11740200000,5330600000
GLW,Corning Incorporated,1.51035417,0.64755802,5848000000,0.93922973,28735000000,7478000000,7804000000
FERG,Ferguson plc,1.84141315,0.90978325,4021000000.04032,1.01059863,15525000000.1557,4659000000.04671,9382000000.09408
PARA,Paramount Global,1.30970366,0.76098653,14297000000,1.16521402,57287000000,17680000000,13524000000
PHM,"PulteGroup, Inc.",3.23214099,0.34152645,2496825000,0.0778285,14211844000,2788223000,12101472000
JCI,Johnson Controls International plc,1.0273156,0.58769107,8161000000,0.80398612,42658000000,10227000000,11546000000
DISH,DISH Network Corporation,0.49526963,1.26798735,21189494000,0.39921703,49003024000,22110064000,2941863000
WRK,Westrock Company,1.53361689,0.74661275,8270000000,0.93991493,28405500000,8530200000.000001,5985400000
LHX,"L3Harris Technologies, Inc.",1.09875278,0.42176908,7248000000,0.86622245,33381000000,7777000000,6431000000
BAX,Baxter International Inc.,2.10625674,3.0267073,15282000000,1.38484358,27965000000,16886000000,7810000000
ON,ON Semiconductor Corporation,3.01499148,0.60738823,980500000,2.12038614,11100700000,3447900000,5309400000
CMI,Cummins Inc.,1.36733143,0.89365245,5623000000,0.84093067,29769000000,8588000000,14398000000
THC,Tenet Healthcare Corporation,1.40271282,3.29901639,13885000000,1.31057063,27076000000,15093000000,5998000000
CNX,CNX Resources Corporation,0.43708276,0.80940809,2366806000,0.41639727,8515772999.999999,2388127000,573804000
APH,Amphenol Corporation,2.42109787,0.6452827,3143500000,1.63876537,15326200000,4577700000,6479100000
BBY,"Best Buy Co., Inc.",0.97561455,1.34046108,2543000000,0.25840708,17021000000,4012000000,9922000000
CEG,Constellation Energy Corporation,1.24927095,0.47936252,4051000000,1.06364904,46616000000,5354000000,9853000000
BIDU,"Baidu, Inc.",2.45851868,0.41374484,-12558664259.9276,2.45851868,54861377481.9486,13465844990.974499,29461868231.0465
CTVA,"Corteva, Inc.",1.68703745,0.11373784,115000000,1.07983853,40651000000,2853000000,15045000000
BSX,Boston Scientific Corporation,1.44942237,0.50646259,8484000000,0.94533671,31947000000,8934000000,5144000000
WDC,Western Digital Corporation,1.82662102,0.60923433,5327000000,1.04893274,25686000000,7376000000,9071000000
DLTR,"Dollar Tree, Inc.",1.3765668,1.25107247,9914000000,0.16845679,22909500000,10353000000,6446600000
BG,Bunge Limited Bunge Limited,1.62723573,0.65453964,5084000000,0.83069935,24792000000,6135000000,17195000000
FOX,Fox Corporation,3.59652837,0.65384615,2751000000,3.16469094,22424000000,7701000000,8495000000
IQV,"IQVIA Holdings, Inc.",0.90462593,2.36637367,11292000000,0.90462593,24223000000,12653000000,4752000000
FE,FirstEnergy Corp.,0.66189522,1.89161773,20981000000,0.55854566,44851000000,21258000000,2312000000
BKR,Baker Hughes Company,1.31756208,0.45831325,4169000000,0.903386,34181000000,6657000000,14592000000
EBAY,eBay Inc.,1.33090086,1.71069442,4808000000,1.33090086,19097000000,8302000000,5289000000
RS,Reliance Steel & Aluminum Co.,3.25256896,0.27230691,1223100000,1.78163872,10202200000,1866800000,4811200000
M,Macy's Inc,1.08972268,1.77467626,5841000000,0.14014534,18230000000,6167000000,7348000000
JEF,Jefferies Financial Group Inc.,,1.97889912,3706229000,,55229811000,20775975000,
AEE,Ameren Corporation,0.79307087,1.44753146,14939000000,0.57417323,37657000000,14953000000,2518000000
PEG,Public Service Enterprise Group Incorporated,0.60314428,1.5156592,19684000000,0.45812518,47741000000,20084000000,4105000000
R,"Ryder System, Inc.",0.73045585,2.31916515,6526161000,0.70593284,14499029000,6982452000,2338691000
AGR,"Avangrid, Inc.",0.73731265,0.43031376,8690000000,0.6053116,39907000000,8750000000,2804000000
IP,International Paper Company,1.37814776,0.83041737,7368000000,0.96690947,24865000000,7879000000,6622000000
DQ,DAQO New Energy Corp.,5.2106835,0,-3082852000,5.13015277,6906223000,0,4740560000
SM,SM Energy Company,0.99233554,0.54798264,1072993999.9999998,0.99233554,5651513000,1571429000,807778000
MUR,Murphy Oil Corporation,0.77301638,0.54114471,2294300000,0.72968675,10309000000,2786300000,972300000
