Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Free Cash Flow (Annual YoY Growth)
AAPL,Apple Inc.,143.22,-1.85705475,-2.71,Buy,39702832,5686239599.04,2268062296361.3647,23.91471788,6.1445,164000,Electronic Technology,19.89177326
MSFT,Microsoft Corporation,242.6907,-2.20394101,-5.4693,Buy,14761777,3582545993.3739,1806541959928.9807,27.59172782,9.0309,221000,Technology Services,16.09287573
GOOG,Alphabet Inc.,98.2,-2.49230464,-2.51,Buy,13299004,1305962192.8,1262043235351.3079,20.26602809,5.0893,156500,Technology Services,56.41294961
XOM,Exxon Mobil Corporation,113.72,-1.63480668,-1.89,Buy,9507361,1081177092.92,468332334406.1182,9.41909728,12.274,63000,Energy Minerals,1479.22723795
CVX,Chevron Corporation,174.88,-2.54667038,-4.57,Sell,7349982,1285364852.1599998,338154703838.6831,9.82986043,18.3381,,Energy Minerals,73.69956923
BRK.A,Berkshire Hathaway Inc.,466565.02,-0.73084681,-3434.98,Sell,4911,2291300813.2200003,678049821856.5338,,-1194,372000,Finance,-2.30185718
AMZN,"Amazon.com, Inc.",100.8259,-1.38311815,-1.4141,Buy,50080686,5049430238.5674,1028590954479.2192,93.88429752,1.1147,1608000,Retail Trade,-156.80450548
VZ,Verizon Communications Inc.,41.075,1.07037402,0.435,Buy,13423429,551367346.1750001,172507496408.0844,8.04306523,5.0584,117100,Communications,-27.00358386
META,"Meta Platforms, Inc.",147.5609,-2.75411889,-4.1791,Buy,19863559,2931084643.2431,392245959827.822,14.45500791,10.5709,71970,Technology Services,65.52132701
T,AT&T Inc.,20.155,1.02756892,0.205,Buy,22321950,449898902.25,143644690492.86896,,-1.2224,,Communications,-51.25049155
PFE,"Pfizer, Inc.",43.465,-0.74217858,-0.325,Strong Sell,15100734,656353403.3100001,243982717805.59644,8.4325053,5.3098,79000,Health Technology,145.29030139
CMCSA,Comcast Corporation,39.415,-0.46717172,-0.185,Buy,9750203,384304251.245,170407148545.68054,33.25774754,,,Consumer Services,-20.95433607
COP,ConocoPhillips,121.01,-2.10338969,-2.6,Buy,2858686,345929592.86,150787072661.83255,8.87320809,13.986,9900,Energy Minerals,13316.09195402
WMT,Walmart Inc.,141.48,-1.27006281,-1.82,Sell,2982852,422013900.96,381543279033.6075,44.28580258,3.2509,2300000,Retail Trade,-57.09027509
ABBV,AbbVie Inc.,145.5199,-0.51961991,-0.7601,Strong Sell,2649861,385607507.7339,257349098816.92044,19.49594168,7.5334,50000,Health Technology,30.97081596
HD,"Home Depot, Inc. (The)",315.07,-0.51154125,-1.62,Sell,1163240,366502026.8,321114927342.1937,19.08460889,16.6477,490600,Retail Trade,-14.47850513
TMUS,"T-Mobile US, Inc.",146.74,0.00681524,0.01,Buy,2136305,313481395.70000005,182567178294.38577,120.10313498,1.227,75000,Communications,432.49042146
MRK,"Merck & Company, Inc.",105.81,0.40804707,0.43,Sell,3436803,363648125.43,268270243354.90652,17.5323595,6.0326,68000,Health Technology,65.88255495
V,Visa Inc.,229.6,-0.79502247,-1.84,Buy,3484798,800109620.8,473274230952.8482,33.02794189,7.1988,26500,Commercial Services,23.1166506
CHTR,"Charter Communications, Inc.",391.14,-0.82908648,-3.27,Buy,694024,271460547.36,59708068643.60204,12.82092124,31.3064,101700,Consumer Services,-35.50674105
GM,General Motors Company,36.6207,-3.5027668,-1.3293,Neutral,13650247,499881600.3129,52026911519.9138,6.44213957,5.9365,157000,Consumer Durables,-79.21304685
MPC,Marathon Petroleum Corporation,130.21,-1.98720361,-2.64,Buy,2403155,312914812.55,61024333143.63463,5.8326894,22.9335,17700,Energy Minerals,886.95652174
OXY,Occidental Petroleum Corporation,64.53,-3.0207394,-2.01,Sell,6037890,389625041.7,58652229198.56267,5.54347554,12.8709,11678,Energy Minerals,432.67605634
PG,Procter & Gamble Company (The),140.5628,-0.005122,-0.0072,Sell,3675735,516671603.65800005,331607909561.0056,24.68739024,5.868,106000,Consumer Non-Durables,-12.94276181
NFLX,"Netflix, Inc.",354.2,-1.82110486,-6.57,Buy,3417284,1210401992.8,157741821570.0463,36.24153658,10.1052,12800,Technology Services,1326.38984656
BMY,Bristol-Myers Squibb Company,72.15,-0.41407867,-0.3,Strong Sell,3716901,268174407.15000004,153402448811.99173,23.61165428,3.0919,32200,Health Technology,14.54996616
BABA,Alibaba Group Holding Limited,111.7,-5.64284508,-6.68,Buy,17957049,2005802373.3,317239102994.3459,318.4826473,0.3893,254941,Retail Trade,-49.90025166
CVS,CVS Health Corporation,87.385,-0.44998861,-0.395,Sell,4249736,371363180.36,114820997615.23453,37.23909723,2.3999,300000,Retail Trade,17.25498957
VLO,Valero Energy Corporation,140.9821,-1.55568745,-2.2279,Buy,1836843,258961983.5103,54351884854.27166,4.91625443,29.172,,Energy Minerals,
AVGO,Broadcom Inc.,582.595,-1.42049781,-8.395,Buy,731517,426178146.615,243458371078.77023,22.54508139,27.4455,20000,Electronic Technology,22.45326927
ORCL,Oracle Corporation,87.18,-2.0339364,-1.81,Buy,3645663,317828900.34000003,235059324767.4182,27.78679823,3.2868,143000,Technology Services,-63.43804538
BN,Brookfield Corporation,36.86,-2.25404402,-0.85,Buy,691076,25473061.36,57622198677.17881,19.15394802,1.95875182,180000,Finance,-78.40433759
EOG,"EOG Resources, Inc.",132.01,-1.9679192,-2.65,Buy,1751320,231191753.2,77541293484.78925,10.58082157,12.8208,2800,Energy Minerals,220.20312582
UPS,"United Parcel Service, Inc.",177.89,-2.30655171,-4.2,Sell,2575583,458170459.86999995,153842990872.07285,14.2684752,12.8308,534000,Transportation,114.24608678
QCOM,QUALCOMM Incorporated,130.565,-2.12518741,-2.835,Buy,4497189,587175481.785,146363358303.4053,11.72747253,11.5171,51000,Electronic Technology,-20.9759482
TSLA,"Tesla, Inc.",169.6447,-4.64041596,-8.2553,Neutral,190270488,32278379855.6136,535695947217.8143,54.96678511,3.6018,99290,Consumer Durables,83.80671339
CSCO,"Cisco Systems, Inc.",48.255,-0.52566481,-0.255,Buy,6171997,297829715.235,198236504725.2743,17.53732692,2.7758,83300,Electronic Technology,-13.63636364
NEE,"NextEra Energy, Inc.",74.93,-0.86001588,-0.65,Sell,6852331,513445161.8300001,148898170223.46576,36.15230077,,,Utilities,-434.29602888
INTC,Intel Corporation,27.945,-0.76349432,-0.215,Strong Sell,37289290,1042049209.05,115608464373.81766,14.43362378,1.965,131900,Electronic Technology,-199.53425792
BNTX,BioNTech SE,139.84,-2.6590561,-3.82,Sell,446384,62422338.56,34864185596,3.20750546,46.7335,3082,Health Technology,975.1104906
