Ticker,Description,Price,Market Capitalization,Price to Earnings Ratio (TTM),Price to Revenue Ratio (TTM),Basic EPS (TTM),EPS Diluted (FY),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Total Shares Outstanding
AAPL,Apple Inc.,143.2,2267745572119.448,23.91471788,5.96500273,6.1445,6.1132,18.34790932,2508880000000,15836200000
MSFT,Microsoft Corporation,242.69,1806536749266.306,27.59172782,9.08649779,9.0309,9.647,18.82100259,1770650000000,7443800000
GOOG,Alphabet Inc.,98.24,1262557305915.6057,20.26602809,5.01795045,5.0893,5.6099,13.08981291,1257450000000,12943000000
XOM,Exxon Mobil Corporation,113.64,468002870927.8163,9.41909728,1.239183,12.274,5.3895,5.94462572,387299000000,4118290000
CVX,Chevron Corporation,174.86,338116031068.3448,9.82986043,1.45597052,18.3381,18.28,6.16402002,350971000000,1933640000
BRK.A,Berkshire Hathaway Inc.,466682.505,678220560510.1106,,2.33146205,-1194,59460,13.22693577,618290000000,1464812.66666667
AMZN,"Amazon.com, Inc.",100.865,1028989839153.8925,93.88429752,2.10326637,1.1147,3.2392,21.67375451,1253090000000,10201700000
VZ,Verizon Communications Inc.,41.07,172486497321.48572,8.04306523,1.24947915,5.0584,5.0585,7.26833402,340801000000,4199819999.999999
META,"Meta Platforms, Inc.",147.5601,392243833270.1237,14.45500791,3.45193566,10.5709,13.7706,8.9248149,349045000000,2658196470
T,AT&T Inc.,20.155,143644690492.86896,,1.10568983,-1.2224,-1.2178,7.07653844,291695000000,7127000000
PFE,"Pfizer, Inc.",43.455,243926584659.8917,8.4325053,2.5069456,5.3098,3.8798,6.04574649,251025000000,5613310000
CMCSA,Comcast Corporation,39.395,170320680374.40277,33.25774754,1.39906281,,1.2122,7.19890188,241178000000,4323404375
COP,ConocoPhillips,120.98,150749690526.6383,8.87320809,2.09281947,13.986,6.0829,4.89918404,136441000000,1246070000
WMT,Walmart Inc.,141.52,381651151037.8579,44.28580258,0.64735633,3.2509,4.8745,13.88414118,447780000000,2696800000
ABBV,AbbVie Inc.,145.5,257313906055.88596,19.49594168,4.49321642,7.5334,6.4536,10.5512577,296117000000,1768480000
HD,"Home Depot, Inc. (The)",315.135,321181174431.0224,19.08460889,2.05971016,16.6477,15.5321,13.67293654,352770000000,1019190000
TMUS,"T-Mobile US, Inc.",146.72,182542295211.61423,120.10313498,2.30715536,1.227,2.41,11.10590247,276224000000,1244150000
MRK,"Merck & Company, Inc.",105.845,268358982212.45703,17.5323595,4.47026166,6.0326,5.1414,12.13985341,238019000000,2535400000
V,Visa Inc.,229.62,473315456931.1542,33.02794189,16.11577434,7.1988,6.8492,22.72958511,440603000000,2061295500.0000005
CHTR,"Charter Communications, Inc.",390.9,59671432307.57282,12.82092124,1.13569294,31.3064,30.7419,7.65975781,154515000000,152651000
GM,General Motors Company,36.615,52018813548.12016,6.44213957,0.37560474,5.9365,6.701,6.69639302,131254000000,1420700000
MPC,Marathon Petroleum Corporation,130.14,60991526882.05675,5.8326894,0.37938272,22.9335,2.6897,4.20729633,73301000000,468661000
OXY,Occidental Petroleum Corporation,64.505,58629506345.1617,5.54347554,1.86664288,12.8709,1.577,4.51660934,91989600000,908914000
PG,Procter & Gamble Company (The),140.56,331601303957.3411,24.68739024,4.34451843,5.868,5.806,18.03228508,405180000000,2359140000
NFLX,"Netflix, Inc.",354.305,157788582979.60263,36.24153658,5.15383758,10.1052,9.9535,8.57891115,144055000000,445347000
BMY,Bristol-Myers Squibb Company,72.13,153359925610.6578,23.61165428,3.32968035,3.0919,3.1154,9.27662556,183683000000,2126159999.9999995
BABA,Alibaba Group Holding Limited,111.61,317239102994.3459,318.4826473,2.38341285,0.3893,3.5431,14.30767909,178999000000,2623200000
CVS,CVS Health Corporation,87.365,114794718277.22105,37.23909723,0.36621764,2.3999,5.9518,8.42605779,176672000000,1313970000
VLO,Valero Energy Corporation,140.89,54316378158.06641,4.91625443,0.30881693,29.172,29.04,3.31388678,55106700000,385523000
AVGO,Broadcom Inc.,582.61,243464639370.7504,22.54508139,7.63589766,27.4455,26.5319,14.21028651,230436000000,417886000
ORCL,Oracle Corporation,87.18,235059324767.4182,27.78679823,5.30389903,3.2868,2.411,17.05778668,312039000000,2696250000
BN,Brookfield Corporation,36.87,57637831395.21385,19.15394802,0.69602634,1.95875182,2.36974444,24.52049018,347165944000,1563275120
EOG,"EOG Resources, Inc.",132,77535419589.36581,10.58082157,2.72251223,12.8208,7.9863,4.45836389,65632500000,587390000
UPS,"United Parcel Service, Inc.",177.8,153765156990.58157,14.2684752,1.57467625,12.8308,14.6811,10.11419282,153377000000,864821000
QCOM,QUALCOMM Incorporated,130.65,146458643299.04572,11.72747253,3.41942942,11.5171,11.3773,9.61893335,147085000000,1121000000
TSLA,"Tesla, Inc.",169.64,535681105781.8488,54.96678511,8.24114983,3.6018,1.6309,33.96761852,905545000000,3157750000
CSCO,"Cisco Systems, Inc.",48.25,198215964210.84827,17.53732692,3.81853086,2.7758,2.8178,11.81241865,177923000000,4108100000.000001
NEE,"NextEra Energy, Inc.",74.95,148937913495.91296,36.15230077,5.27567036,,2.0997,14.03149903,239077000000,1987160000
INTC,Intel Corporation,27.94,115587779373.9297,14.43362378,1.84580328,1.965,1.9445,8.41535409,125220000000,4137000000
BNTX,BioNTech SE,139.73,34864185596,3.20750546,1.80421445,46.7335,46.8446,1.48520857,21608900000,242685401
PEP,"PepsiCo, Inc.",169.35,233315051133.00845,24.26192928,2.81236704,7.0288,5.4845,18.59712561,269366000000,1377710000
MU,"Micron Technology, Inc.",62.07,67729325071.22922,11.58051239,2.56364339,5.565,7.7424,4.90605999,60854100000,1091180000
IBM,International Business Machines Corporation,134.99,122048022695.82143,76.37965331,2.03353436,1.817,1.8,12.35859682,174290000000,904126000
MRNA,"Moderna, Inc.",181.315,69657686150.01009,6.84706121,3.67514015,29.3391,28.3109,4.88778206,41632000000,384180000
MA,Mastercard Incorporated,371.15,799383995520.3383,36.58496029,16.20802277,10.2557,10.22,60.89211915,340969000000,2153803000
PXD,Pioneer Natural Resources Company,229.795,54599002229.27951,8.36032244,2.3642324,29.423,8.6138,4.5031638,57892500000,237599000
PM,Philip Morris International Inc,104.02,161252043497.62897,18.4817071,5.10672671,5.6197,5.8262,14.05930713,152413000000,1550200000
AMGN,Amgen Inc.,251.22,134045754002.08919,20.33168745,5.21550545,12.5397,10.2845,12.64041298,148491000000,533578999.99999994
LOW,"Lowe's Companies, Inc.",202.8,122633685675.54742,19.84495668,1.30838848,10.2303,12.03,12.22377981,157769000000,604703000
TMO,Thermo Fisher Scientific Inc,563.195,220882578402.61472,32.25975165,5.13016166,17.9173,19.4584,20.21553189,226745000000,392196000
KO,Coca-Cola Company (The),60.6,262065535787.1053,26.51558322,6.19233853,2.2937,2.2514,23.60129089,271461000000,4324510000
F,Ford Motor Company,12.925,51964888885.94009,5.9996383,0.35165465,2.2555,4.4465,11.70513223,134591000000,4020492076
MO,"Altria Group, Inc.",44.4193,79607051600.33305,17.14507671,3.83779711,2.5788,1.3355,8.4461543,96436600000,1792170000
UNP,Union Pacific Corporation,201.19,123691781086.48183,18.03961067,4.9932359,11.2394,11.21,13.00292215,160686000000,614801000
MCD,McDonald's Corporation,270.97,198464895021.37766,34.32177769,8.660324,7.993,10.0362,20.23163779,215092000000,732424000
HCA,"HCA Healthcare, Inc.",254.21,71869407107.45409,13.24175282,1.20828055,,19.1505,9.45347933,110170000000,282717000
GILD,"Gilead Sciences, Inc.",82.83,103889026110.90755,31.6631372,3.90775121,2.6556,4.9326,10.34968242,96752100000,1254240000
LNG,"Cheniere Energy, Inc.",149.64,37209392538.32184,,1.19259271,-15.2443,-9.2462,5.50704091,69845900000,248659000
DIS,Walt Disney Company (The),108.15,197566789895.9444,63.58623092,2.42213659,1.7266,1.7214,21.30245795,226258000000,1826780000
